id,id_str,name,screen_name,location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,default_profile,default_profile_image,following,follow_request_sent,notifications
940631, 940631, Andrei Zmievski, a, San Francisco, CA, Coder, photographer, beer judge and brewer, Russian, and San Franciscan. Software architect at @AppDynamics., http://t.co/VPi9vzq9Ft, Array, , 93621, 261, 1151, Sun Mar 11 18:05:57 +0000 2007, 489, -28800, Pacific Time (US & Canada), 1, , 13215, en, Array, , , 170F00, http://a0.twimg.com/profile_background_images/2909595/AZ-twitter.gif, https://si0.twimg.com/profile_background_images/2909595/AZ-twitter.gif, , http://pbs.twimg.com/profile_images/1843828229/headshot_bw_m_copy_normal.jpg, https://pbs.twimg.com/profile_images/1843828229/headshot_bw_m_copy_normal.jpg, A04521, E6AA51, E6AA51, 170F00, 1, , , , , 
11266532, 11266532, Brian Griffing, b, 99223, Hello, My Name is Brian.. I play music.. I tour.. I'm currently writing a new record.  Stay tuned for some new videos and such coming VERY soon., http://t.co/GhopeSU5BP, Array, , 40442, 170, 219, Mon Dec 17 21:33:04 +0000 2007, 7, -28800, Pacific Time (US & Canada), , , 2749, en, Array, , , F7F7F7, http://a0.twimg.com/profile_background_images/5223502/bradleyit-rotated.png, https://si0.twimg.com/profile_background_images/5223502/bradleyit-rotated.png, , http://pbs.twimg.com/profile_images/3678463725/b6ff31c9e700648f5e8fb2c7a213e97a_normal.jpeg, https://pbs.twimg.com/profile_images/3678463725/b6ff31c9e700648f5e8fb2c7a213e97a_normal.jpeg, 000000, 000000, F7F7F7, 878787, 1, , , , , 
632173, 632173, Coley Cheng, c, San Francisco, California, I am the open book on your mantle. Let's discover this world together., http://t.co/YQCeRQSxMn, Array, , 42442, 480, 313, Sun Jan 14 03:13:50 +0000 2007, 386, -28800, Pacific Time (US & Canada), 1, , 4031, en, Array, , , E3F3C5, http://a0.twimg.com/profile_background_images/29014973/Twitter_bg-pachy.jpg, https://si0.twimg.com/profile_background_images/29014973/Twitter_bg-pachy.jpg, , http://pbs.twimg.com/profile_images/1249323968/Coley_avatar_normal.png, https://pbs.twimg.com/profile_images/1249323968/Coley_avatar_normal.png, 0099CC, 7AA934, C4D89E, 000000, 1, , , , , 
10682, 10682, Dave Bragdon, d, NJ, , , Array, , 43961, 988, 236, Thu Oct 26 22:29:37 +0000 2006, 3049, -18000, Eastern Time (US & Canada), 1, , 5356, en, Array, , , 131516, http://abs.twimg.com/images/themes/theme14/bg.gif, https://abs.twimg.com/images/themes/theme14/bg.gif, 1, http://pbs.twimg.com/profile_images/1260084135/db_normal.jpg, https://pbs.twimg.com/profile_images/1260084135/db_normal.jpg, 009999, EEEEEE, EFEFEF, 333333, 1, , , , , 
51371672, 51371672, ☀e, sonnytoiparker, Richmond, London, , , Array, , 9888, 332, 204, Sat Jun 27 06:52:58 +0000 2009, 717, 0, London, 1, 1, 5910, en, Array, , , FFFFFF, http://a0.twimg.com/profile_background_images/693577897/deac8a040f949f71fe9e473576bfe080.jpeg, https://si0.twimg.com/profile_background_images/693577897/deac8a040f949f71fe9e473576bfe080.jpeg, 1, http://pbs.twimg.com/profile_images/378800000656600044/abe4b2b80a6ec7d1a9142525910d7019_normal.jpeg, https://pbs.twimg.com/profile_images/378800000656600044/abe4b2b80a6ec7d1a9142525910d7019_normal.jpeg, https://pbs.twimg.com/profile_banners/51371672/1382878526, 000000, FFFFFF, FFFFFF, 000000, 1, , , , , 
5511, 5511, Fred Oliveira, f, , Figuring things out in the intersection of code and design. Juggling product, data and pixels for Dashboard.io., http://t.co/hc89ueZTpc, Array, , 54491, 393, 518, Fri Sep 08 00:53:40 +0000 2006, 1416, 0, Lisbon, 1, , 8547, en, Array, , , C0DEED, http://a0.twimg.com/profile_background_images/378800000047755011/26a8736d372060b74cc2fa331b7b05e9.png, https://si0.twimg.com/profile_background_images/378800000047755011/26a8736d372060b74cc2fa331b7b05e9.png, 1, http://pbs.twimg.com/profile_images/378800000177056591/3dab48e019f42e55a89ba5478aafe244_normal.jpeg, https://pbs.twimg.com/profile_images/378800000177056591/3dab48e019f42e55a89ba5478aafe244_normal.jpeg, https://pbs.twimg.com/profile_banners/5511/1347980629, 0084B4, 000000, DDEEF6, 333333, 1, , , , , 
17853751, 17853751, Greg Leding, g, , , , Array, , 42200, 107, 235, Thu Dec 04 00:04:15 +0000 2008, 26, -21600, Central Time (US & Canada), 1, , 5950, en, Array, , , FAFAFA, http://a0.twimg.com/profile_background_images/547721954/twitter-bg-blue.png, https://si0.twimg.com/profile_background_images/547721954/twitter-bg-blue.png, , http://pbs.twimg.com/profile_images/378800000538474896/598697d09f0c799c06399825e481be1e_normal.png, https://pbs.twimg.com/profile_images/378800000538474896/598697d09f0c799c06399825e481be1e_normal.png, https://pbs.twimg.com/profile_banners/17853751/1380727340, 7793A1, FDFDFD, FDFDFD, 504E46, , , , , , 
11924252, 11924252, Helgi Þorbjörnsson, h, Dublin, Ireland, Work @engineyard, Co-founder of Orchestra.io, public speaker PEAR developer, programmer, party person, viking!, http://t.co/mD7I9z5Xp1, Array, , 38531, 217, 355, Mon Jan 07 01:17:28 +0000 2008, 98, 0, London, 1, , 10745, en, Array, , , 352726, http://abs.twimg.com/images/themes/theme5/bg.gif, https://abs.twimg.com/images/themes/theme5/bg.gif, , http://pbs.twimg.com/profile_images/1370119413/JDK_9205-20110525_normal.jpg, https://pbs.twimg.com/profile_images/1370119413/JDK_9205-20110525_normal.jpg, D02B55, 829D5E, 99CC33, 3E4415, 1, , , , , 
49573859, 49573859, will.i.am, iamwill, , i.am...i.can...i.will, http://t.co/A31SqNELFy, Array, , 10777668, 815, 23523, Mon Jun 22 08:24:19 +0000 2009, 13, -28800, Pacific Time (US & Canada), , 1, 4184, en, Array, , , 080A0A, http://a0.twimg.com/profile_background_images/716435468/35ac33ba311101d05d3b1bfbb45840cb.jpeg, https://si0.twimg.com/profile_background_images/716435468/35ac33ba311101d05d3b1bfbb45840cb.jpeg, 1, http://pbs.twimg.com/profile_images/3547533128/61eb0e1b506fc4ae4afa36ba79d62814_normal.jpeg, https://pbs.twimg.com/profile_images/3547533128/61eb0e1b506fc4ae4afa36ba79d62814_normal.jpeg, https://pbs.twimg.com/profile_banners/49573859/1366465836, 7A5B0D, 000000, DDFFCC, 333333, , , , , , 
40884854, 40884854, J, jiteshpillaai, Mumbai, Love is the answer. Free of prejudice. The journey within... Editor, filmfare, , Array, , 122689, 559, 636, Mon May 18 14:36:17 +0000 2009, 51, -36000, Hawaii, , 1, 43630, en, Array, , , C0DEED, http://abs.twimg.com/images/themes/theme1/bg.png, https://abs.twimg.com/images/themes/theme1/bg.png, , http://pbs.twimg.com/profile_images/378800000576031496/c3b8b00286a3a3ac7e556fda72a15e06_normal.jpeg, https://pbs.twimg.com/profile_images/378800000576031496/c3b8b00286a3a3ac7e556fda72a15e06_normal.jpeg, 0084B4, C0DEED, DDEEF6, 333333, 1, 1, , , , 
